Fid,Latitude,Langitude,Fdate,Wind_Speed,First_Indicator,RAIN,Second_Indicator,Max_Temp,Third_Indicator,Min_temp,Min_grass_temp,results
217.69.133.148-10.42.0.211-443-49666-6,37.51919384,-77.39022835,12-05-21,15.59,0,0.1,0.0,15.5,0.0,10.0,7.5,0
10.42.0.211-119.6.229.101-45490-80-6,38.35982,-81.65337099999999,13-05-21,20.33,0,0.8,0.0,14.2,0.0,9.0,5.6,0
172.217.3.110-10.42.0.151-443-39124-6,38.99347881,-79.16404918,14-05-21,13.42,0,1.1,0.0,14.5,0.0,7.7,5.5,0
10.42.0.211-10.42.0.1-34221-53-17,39.57378138,-79.91157594,15-05-21,12.83,0,0.5,0.0,15.5,0.0,5.5,,0
10.42.0.211-52.197.242.223-52135-443-6,38.0953488,-81.25033451,16-05-21,14.42,0,0.5,0.0,18.3,0.0,3.8,-0.2,0
180.149.153.234-10.42.0.151-80-38584-6,39.32031289,-77.84100721,17-05-21,13.96,0,0.0,0.0,16.6,0.0,3.8,-0.2,0
157.56.52.23-10.42.0.42-40033-44878-6,37.43146383,-81.58228106,18-05-21,19.33,0,0.8,0.0,13.3,0.0,8.4,6.3,0
10.42.0.151-10.42.0.1-24184-53-17,38.06452846,-81.82163779,19-05-21,11.38,0,5.0,2.0,13.6,0.0,4.8,2.2,0
172.217.10.14-10.42.0.151-443-41432-6,39.309979999999996,-77.943961,20-05-21,14.5,0,3.4,0.0,15.0,0.0,7.7,7.2,0
10.42.0.211-23.203.49.224-39587-443-6,39.28201,-80.554491,21-05-21,7.21,0,6.8,0.0,12.6,0.0,6.7,3.8,1
183.79.249.124-10.42.0.151-443-45868-6,43.06785133,-87.99678956,22-05-21,7.62,0,0.0,0.0,12.8,0.0,2.7,-1.2,1
10.42.0.211-23.206.166.62-36447-80-6,43.655457,-90.99730500000001,23-05-21,7.0,0,0.2,2.0,12.0,0.0,5.4,0.6,1
172.217.10.3-10.42.0.211-443-39451-6,42.649033,-88.36093138,24-05-21,4.96,0,4.1,0.0,11.6,0.0,0.6,-4.1,1
8.0.6.4-8.6.0.1-0-0-0,43.82691248,-91.25317022,25-05-21,8.38,0,1.1,0.0,15.5,0.0,8.4,7.2,1
10.42.0.42-98.139.183.24-40205-443-6,44.26203669,-88.32626612,26-05-21,9.29,0,0.4,0.0,15.7,0.0,11.0,8.3,1
172.217.9.238-10.42.0.151-443-48358-6,43.01862588,-87.98844033,27-05-21,5.13,0,0.0,0.0,14.0,0.0,6.0,0.5,1
10.42.0.151-121.12.98.78-40003-80-6,42.69062871,-87.82538313,28-05-21,5.63,0,0.0,0.0,17.0,0.0,2.3,-0.7,1
10.42.0.211-69.147.82.60-55016-443-6,44.28816428,-88.40241962,29-05-21,10.92,0,0.0,0.0,16.1,0.0,6.7,,0
10.42.0.211-42.56.76.21-35876-80-6,45.59215,-92.345411,30-05-21,8.25,0,2.5,0.0,12.8,0.0,6.7,5.1,1
10.42.0.211-10.42.0.1-40682-53-17,44.648070000000004,-88.94668100000001,31-05-21,6.13,0,0.0,0.0,17.1,0.0,10.0,7.2,1
220.170.182.31-10.42.0.211-443-52262-6,43.17677237,-88.11120879,01-06-21,10.92,0,0.0,4.0,,4.0,,7.0,0
10.42.0.151-104.244.43.99-41239-443-6,43.563258000000005,-89.207608,02-06-21,14.46,0,0.0,4.0,,4.0,,7.6,0
10.42.0.1-10.42.0.42-53-29509-17,44.70172244,-88.90767288,03-06-21,17.67,0,0.0,4.0,,4.0,,8.1,0
172.217.10.100-10.42.0.211-443-52909-6,43.18041881,-88.99093596,04-06-21,9.79,0,0.2,4.0,,4.0,,5.5,1
10.42.0.151-104.193.88.109-49979-80-6,42.580191799999994,-90.60272494,05-06-21,6.0,0,0.0,4.0,,4.0,,9.5,1
174.35.73.78-10.42.0.42-80-33405-6,43.17837264,-88.02235914,06-06-21,6.29,0,0.0,4.0,,4.0,,9.4,1
172.217.10.35-10.42.0.211-443-42348-6,43.18031807,-88.01479679,07-06-21,3.58,0,0.0,4.0,,4.0,,7.2,1
10.42.0.1-10.42.0.42-53-61408-17,27.91508212,-82.49221113,08-06-21,4.25,0,0.0,4.0,,4.0,,4.4,1
10.42.0.42-119.146.74.48-55155-80-6,27.96659161,-82.44356809,09-06-21,8.38,0,0.0,4.0,,4.0,,7.8,1
205.185.216.42-10.42.0.211-80-33453-6,27.90673689,-82.49459025,10-06-21,5.75,0,0.0,4.0,,4.0,,6.7,1
172.217.11.46-10.42.0.151-443-35562-6,27.94555571,-82.5145437,11-06-21,2.92,0,18.8,4.0,,4.0,,5.0,1
10.42.0.211-106.11.30.202-46436-443-6,27.98990513,-82.43520031,12-06-21,4.25,0,5.0,4.0,,4.0,,12.0,1
199.59.148.73-10.42.0.211-443-40572-6,27.93450615,-82.50681829,13-06-21,4.92,0,0.0,4.0,,4.0,,4.5,1
157.240.2.20-10.42.0.42-443-36843-6,27.87848967,-82.49617731,14-06-21,4.83,0,0.0,4.0,,4.0,,5.6,1
172.217.12.170-10.42.0.211-443-48410-6,28.07926493,-82.57251509,15-06-21,7.17,0,5.0,4.0,,4.0,,5.0,1
172.217.12.130-10.42.0.211-443-36837-6,28.036899199999997,-82.39178602,16-06-21,8.29,0,0.8,4.0,,4.0,,10.3,1
10.42.0.211-10.42.0.1-53351-53-17,27.79248314,-82.34288041,17-06-21,5.88,0,4.5,4.0,,4.0,,9.6,1
10.42.0.211-23.206.166.66-33986-80-6,28.01827558,-82.58250156,18-06-21,17.83,0,0.8,4.0,,4.0,,10.7,0
10.42.0.211-77.234.41.79-42500-443-6,28.10547314,-82.39443544,19-06-21,8.92,0,3.3,4.0,,4.0,,6.2,1
222.73.28.96-10.42.0.42-80-47435-6,27.94075669,-82.28657522,20-06-21,8.67,0,0.1,4.0,,4.0,,9.5,1
10.42.0.151-10.42.0.1-61514-53-17,27.91113748,-82.50479083,21-06-21,10.34,0,0.5,4.0,,4.0,,9.4,0
10.42.0.1-10.42.0.42-53-38235-17,27.90169348,-82.28633997,22-06-21,11.83,0,6.3,4.0,,4.0,,7.5,0
10.42.0.151-52.84.145.106-45838-443-6,28.0655,-82.4907,23-06-21,11.87,0,0.3,4.0,,4.0,,5.0,0
10.42.0.1-10.42.0.42-53-53866-17,28.03054763,-82.4908988,24-06-21,12.04,0,2.8,4.0,,4.0,,8.5,0
182.22.24.124-10.42.0.211-443-53491-6,27.98554196,-82.27476062,25-06-21,8.17,0,3.1,4.0,,4.0,,8.3,1
172.217.12.174-10.42.0.151-443-47758-6,28.02573251,-82.47849767,26-06-21,12.71,0,3.5,4.0,,4.0,,8.3,0
10.42.0.151-10.42.0.1-23107-53-17,27.99207065,-82.42497264,27-06-21,13.04,0,3.0,4.0,,4.0,,6.1,0
10.42.0.211-104.244.43.3-40696-443-6,27.96528476,-82.27848993,28-06-21,12.17,0,3.4,4.0,,4.0,,10.3,0
203.130.53.126-10.42.0.211-80-42837-6,35.78975938,-78.69131927,29-06-21,13.5,0,2.8,4.0,,4.0,,9.7,0
10.42.0.151-10.42.0.1-37677-53-17,38.91041862,-77.49179634,30-06-21,11.58,0,0.5,4.0,,4.0,,9.6,0
172.217.12.131-10.42.0.151-443-45779-6,37.92682,-78.357911,01-07-21,8.54,0,0.8,0.0,16.2,0.0,11.4,10.7,1
10.42.0.211-66.231.239.95-46115-443-6,38.06095,-78.493021,02-07-21,5.09,0,0.3,0.0,17.0,0.0,11.1,11.2,1
182.22.24.124-10.42.0.211-443-38552-6,37.44154,-77.228741,03-07-21,6.46,0,0.0,0.0,17.2,0.0,12.2,10.6,1
10.42.0.211-123.125.29.220-55785-80-6,47.66970099,-117.41655959999999,04-07-21,8.5,0,0.7,0.0,15.7,0.0,11.3,8.5,1
10.42.0.211-10.42.0.1-52418-53-17,47.76289939,-122.36601709999998,05-07-21,5.17,0,3.4,0.0,16.6,0.0,10.5,10.5,1
209.10.120.26-10.42.0.211-80-59689-6,47.70918046,-122.6932501,06-07-21,2.67,0,0.1,0.0,16.1,0.0,11.6,11.2,1
10.42.0.151-10.42.0.1-23152-53-17,46.13275886,-122.9243576,07-07-21,6.46,0,0.0,0.0,16.6,0.0,11.1,9.6,1
172.217.9.228-10.42.0.211-443-60173-6,48.6480969,-118.7385253,08-07-21,10.92,0,0.0,0.0,16.6,0.0,10.7,10.1,0
10.42.0.211-10.42.0.1-60721-53-17,46.07490668,-118.30615719999999,09-07-21,13.96,0,0.1,0.0,16.4,0.0,11.5,10.1,0
10.42.0.151-106.11.92.1-39208-443-6,47.224288,-120.99606100000001,10-07-21,8.17,0,0.2,0.0,17.0,0.0,10.6,10.4,1
10.42.0.211-98.139.199.205-53591-443-6,46.41791268,-117.067479,11-07-21,4.46,0,0.9,0.0,15.0,0.0,8.4,4.7,1
198.51.152.179-10.42.0.151-443-52924-6,48.93871926,-119.0958916,12-07-21,4.79,0,0.3,0.0,15.6,0.0,10.2,8.8,1
172.217.6.234-10.42.0.151-443-45182-6,47.71925612,-122.32170239999999,13-07-21,5.54,0,0.5,0.0,17.2,0.0,7.8,3.4,1
10.42.0.211-31.13.69.197-41544-443-6,47.7130734,-122.16759909999999,14-07-21,14.71,0,0.0,0.0,20.0,0.0,12.2,9.5,0
10.42.0.211-23.206.166.62-38220-80-6,46.59546155,-120.65938359999998,15-07-21,12.04,0,3.8,0.0,18.8,0.0,13.4,11.0,0
10.42.0.211-104.192.110.245-38593-443-6,47.54386713,-122.0388983,16-07-21,10.29,0,2.0,0.0,19.0,0.0,11.6,10.0,0
10.42.0.151-104.193.88.109-58884-80-6,47.01210571,-122.8224624,17-07-21,9.75,0,0.0,0.0,17.6,0.0,12.1,9.0,1
10.42.0.211-103.235.46.211-56423-443-6,32.42468805,-87.04812372,18-07-21,6.5,0,0.0,0.0,19.4,0.0,10.2,7.5,1
180.149.136.194-10.42.0.42-80-38511-6,32.711906,-87.708795,19-07-21,10.04,0,0.4,0.0,19.4,0.0,13.7,12.7,0
219.142.78.162-10.42.0.211-443-52625-6,32.616431,-86.106076,20-07-21,6.5,0,0.0,0.0,17.7,0.0,4.7,1.0,1
10.42.0.151-95.213.11.181-57462-80-6,32.37255882,-86.28452434,21-07-21,7.29,0,0.0,0.0,24.0,0.0,11.6,8.3,1
203.130.53.126-10.42.0.151-80-48673-6,34.97549969,-86.64496172,22-07-21,6.5,0,3.4,0.0,17.7,0.0,15.0,13.3,1
199.59.149.202-10.42.0.211-443-34469-6,30.65100472,-88.22366961,23-07-21,7.87,0,2.3,0.0,18.3,0.0,12.6,10.1,1
172.217.7.3-10.42.0.211-443-56953-6,32.42473564,-87.04804341,24-07-21,11.17,0,0.1,0.0,18.2,0.0,13.1,13.3,0
10.42.0.211-10.42.0.1-20956-53-17,33.26973194,-86.84038884,25-07-21,11.0,0,1.1,0.0,17.5,0.0,8.3,6.2,0
10.42.0.151-31.13.80.5-52202-443-6,64.84503425,-147.6862486,26-07-21,6.5,0,0.0,0.0,17.7,0.0,9.2,6.0,1
172.217.11.45-10.42.0.42-443-45899-6,64.85130477,-147.71588290000003,27-07-21,5.5,0,0.0,0.0,20.1,0.0,7.2,2.5,1
180.149.136.194-10.42.0.211-80-50503-6,55.4884684,-133.12797700000002,28-07-21,5.91,0,0.0,0.0,20.4,0.0,6.6,3.0,1
172.217.6.196-10.42.0.211-443-43230-6,64.84326457,-147.75085669999999,29-07-21,8.21,0,0.0,0.0,21.1,0.0,7.1,2.7,1
10.42.0.211-31.13.80.52-51843-443-6,61.60453815,-149.41391769999998,30-07-21,4.33,0,0.0,0.0,25.5,0.0,9.5,7.2,1
172.217.6.206-10.42.0.151-443-35438-6,61.1816841,-149.81364319999997,31-07-21,4.33,0,0.0,0.0,22.3,0.0,8.7,4.5,1
172.217.12.170-10.42.0.151-443-60112-6,57.06274118,-135.3480707,01-08-21,5.41,0,0.0,0.0,21.4,0.0,12.7,10.4,1
10.42.0.42-64.71.142.110-59724-443-6,61.58119103,-149.39969580000002,02-08-21,4.08,0,0.0,0.0,20.3,0.0,10.0,5.5,1
203.205.147.229-10.42.0.42-80-53183-6,61.31509764,-149.57569819999998,03-08-21,2.62,0,0.0,0.0,19.6,0.0,10.5,6.7,1
10.42.0.151-13.32.250.220-50407-443-6,28.01838392,-82.46973631,04-08-21,3.13,0,0.0,0.0,21.1,0.0,13.3,11.6,1
151.101.1.140-10.42.0.151-443-56906-6,28.075785200000002,-82.45605389,05-08-21,10.5,0,4.1,0.0,18.3,0.0,12.8,9.6,0
172.217.9.238-10.42.0.42-443-35664-6,27.98654615,-82.50012590000001,06-08-21,7.0,0,0.0,0.0,18.8,0.0,11.6,10.8,1
184.72.52.0-10.42.0.211-443-53507-6,27.99694764,-82.28636742,07-08-21,12.58,0,0.0,0.0,20.6,0.0,14.0,12.8,0
172.217.12.174-10.42.0.151-443-58564-6,28.05106816,-82.39623813,08-08-21,13.5,0,0.0,0.0,16.6,0.0,9.7,7.4,0
10.42.0.211-69.147.82.60-40675-443-6,27.936795899999996,-82.27521938,09-08-21,7.96,0,9.4,0.0,17.3,0.0,8.6,4.7,1
10.42.0.211-31.13.69.245-34250-443-6,28.09696034,-82.50624682,10-08-21,14.09,0,2.1,0.0,19.7,0.0,12.6,10.3,0
10.42.0.211-31.13.71.36-49300-443-6,36.86892897,-76.17814756,11-08-21,11.25,0,1.6,0.0,18.4,0.0,12.2,11.2,0
10.42.0.151-10.42.0.1-5143-53-17,38.25175016,-77.43024238,12-08-21,8.38,0,0.0,0.0,18.8,0.0,11.6,10.6,1
10.42.0.211-10.42.0.1-1477-53-17,36.72933769,-78.12666096,13-08-21,6.58,0,0.0,0.0,16.2,0.0,10.7,10.7,1
172.217.9.225-10.42.0.42-443-39397-6,47.35043515,-122.2297676,14-08-21,6.67,0,4.3,0.0,17.6,0.0,8.7,5.7,1
10.42.0.151-31.13.80.5-33417-443-6,47.66223378,-117.3861262,15-08-21,9.21,0,15.1,0.0,16.3,0.0,6.2,1.8,1
10.42.0.211-121.12.98.63-46639-80-6,46.27214998,-119.29763340000001,16-08-21,17.67,0,44.4,2.0,13.0,0.0,9.6,9.4,0
10.42.0.151-10.42.0.1-26314-53-17,47.24930097,-122.2876351,17-08-21,15.67,0,0.0,2.0,15.0,0.0,8.8,8.8,0
10.42.0.211-65.52.108.74-60952-443-6,47.61632038,-122.3079595,18-08-21,6.92,0,0.0,0.0,17.7,0.0,7.3,3.8,1
10.42.0.211-10.42.0.1-56672-53-17,47.29998564,-122.2881828,19-08-21,7.79,0,3.6,0.0,17.8,0.0,11.2,10.3,1
175.100.207.233-10.42.0.211-80-47264-6,45.70292167,-122.6697742,20-08-21,11.08,0,0.4,0.0,17.0,0.0,8.8,6.6,0
10.42.0.151-10.42.0.1-1182-53-17,45.59516046,-122.4073562,21-08-21,9.46,0,3.4,0.0,18.3,0.0,9.7,7.6,1
203.205.128.137-10.42.0.42-80-44687-6,47.55140258,-122.04109220000001,22-08-21,7.62,0,0.2,0.0,18.8,0.0,12.7,11.8,1
216.58.217.67-10.42.0.211-443-36905-6,47.57503235,-122.2854966,23-08-21,13.13,0,3.8,0.0,17.8,0.0,10.3,6.1,0
172.217.12.194-10.42.0.211-443-55758-6,46.900220000000004,-122.659411,24-08-21,13.59,0,0.4,0.0,19.0,0.0,11.1,9.4,0
10.42.0.42-106.39.169.66-57125-80-6,47.42711331,-122.15956809999999,25-08-21,9.0,0,3.6,0.0,17.7,0.0,12.7,11.4,1
199.59.149.243-10.42.0.151-443-40149-6,47.73603316,-122.3031938,26-08-21,19.62,0,3.3,0.0,17.3,0.0,12.3,10.5,0
172.217.11.46-10.42.0.211-443-36373-6,33.14674324,-86.78323934,27-08-21,14.62,0,0.2,0.0,15.5,0.0,11.4,10.0,0
180.76.149.207-10.42.0.211-30320-54342-6,33.17389911,-87.52821478,28-08-21,7.41,0,0.0,0.0,15.5,0.0,9.8,4.7,1
10.42.0.211-123.125.115.190-32880-80-6,32.63769661,-85.45010194,29-08-21,8.33,0,0.0,0.0,16.5,0.0,10.5,6.6,1
175.100.207.232-10.42.0.151-80-40407-6,34.85925139,-87.53902257,30-08-21,11.12,0,11.4,0.0,17.7,0.0,12.3,8.2,0
10.42.0.211-54.192.38.18-60884-443-6,33.53119,-86.862601,31-08-21,9.59,0,0.5,0.0,15.6,0.0,11.6,11.1,1
203.205.179.172-10.42.0.211-80-40201-6,32.35931354,-86.28222208,01-09-21,10.34,0,0.5,4.0,,4.0,,5.5,0
174.35.73.135-10.42.0.211-443-55966-6,32.38279698,-86.09847992,02-09-21,8.96,0,1.3,4.0,,4.0,,8.8,1
10.42.0.211-104.244.43.3-40701-443-6,30.66035326,-88.07987738,03-09-21,11.25,0,2.8,4.0,,4.0,,5.5,0
172.217.10.78-10.42.0.151-443-60262-6,34.57964723,-86.44096305,04-09-21,5.96,0,0.0,4.0,,4.0,,5.3,1
10.42.0.211-10.42.0.1-58512-53-17,30.66152556,-88.16662065,05-09-21,9.25,0,6.8,4.0,,4.0,,5.1,1
10.42.0.42-54.68.36.249-53552-443-6,33.35072567,-86.78966932,06-09-21,10.34,0,6.9,4.0,,4.0,,3.1,0
172.217.10.110-10.42.0.151-443-46133-6,32.32641232,-86.25604814,07-09-21,14.67,0,2.0,4.0,,4.0,,10.0,0
172.217.10.110-10.42.0.211-443-55767-6,33.48064476,-86.85400769,08-09-21,13.13,0,1.2,4.0,,4.0,,1.4,0
172.217.10.34-10.42.0.151-443-39397-6,32.64279611,-85.42779399,09-09-21,14.04,0,0.3,4.0,,4.0,,5.6,0
172.217.10.10-10.42.0.42-443-52842-6,33.218576500000005,-86.82748057,10-09-21,3.71,0,0.0,4.0,,4.0,,1.1,1
10.42.0.211-104.193.88.109-53970-80-6,34.98644034,-86.95198587,11-09-21,2.54,0,0.0,4.0,,4.0,,9.8,1
10.42.0.211-104.193.88.109-33819-80-6,34.78766254,-86.72501414,12-09-21,4.29,0,0.0,4.0,,4.0,,3.0,1
10.42.0.211-87.240.165.80-57723-80-6,36.19108295,-94.54771243,13-09-21,9.79,0,0.0,4.0,,4.0,,3.8,1
10.42.0.151-31.13.71.52-46215-443-6,35.25541977,-91.73507392,14-09-21,9.33,0,0.0,4.0,,4.0,,7.8,1
10.42.0.211-74.125.22.154-53745-443-6,36.08116308,-94.14884859,15-09-21,5.91,0,0.0,4.0,,4.0,,1.6,1
10.42.0.211-65.55.118.92-35986-80-6,35.86114993,-94.42438396,16-09-21,4.75,0,0.0,4.0,,4.0,,1.6,1
10.42.0.211-77.234.42.92-45253-443-6,37.64003862,-77.44265547,17-09-21,7.83,0,5.6,4.0,,4.0,,3.3,1
10.42.0.211-72.21.206.141-53418-443-6,38.934259999999995,-78.206571,18-09-21,5.41,0,0.0,4.0,,4.0,,4.4,1
10.42.0.151-52.84.1.143-52003-80-6,38.88337,-77.114671,19-09-21,6.75,0,0.2,4.0,,4.0,,3.3,1
10.42.0.211-10.42.0.1-60569-53-17,37.43830884,-77.46545089,20-09-21,5.5,0,0.0,4.0,,4.0,,10.2,1
216.58.219.202-10.42.0.151-443-46974-6,36.60697616,-76.21286509,21-09-21,2.54,0,0.0,4.0,,4.0,,4.1,1
10.42.0.211-10.42.0.1-41649-53-17,37.244640000000004,-76.652121,22-09-21,3.21,0,0.0,4.0,,4.0,,5.5,1
10.42.0.151-10.42.0.1-1411-53-17,38.65834764,-77.25145193,23-09-21,5.09,0,2.0,4.0,,4.0,,4.4,1
172.217.12.142-10.42.0.211-443-35817-6,37.60864308,-77.70256562,24-09-21,14.67,0,1.3,4.0,,4.0,,7.7,0
10.42.0.42-23.208.87.120-57681-80-6,38.89077,-77.446731,25-09-21,13.37,0,15.8,4.0,,4.0,,1.7,0
172.217.12.131-10.42.0.151-443-59217-6,36.75602277,-76.24930413,26-09-21,23.04,0,0.0,4.0,,4.0,,7.7,0
172.217.3.110-10.42.0.151-443-40445-6,38.95121016,-77.39681495,27-09-21,15.0,0,0.0,4.0,,4.0,,3.7,0
10.42.0.211-121.12.98.78-41546-80-6,38.849070000000005,-77.44057099999999,28-09-21,10.17,0,0.3,4.0,,4.0,,3.2,0
184.75.211.109-10.42.0.211-443-47416-6,36.75888,-76.023491,29-09-21,17.88,0,0.0,4.0,,4.0,,11.2,0
8.0.6.4-8.6.0.1-0-0-0,39.04359,-77.47621099999999,30-09-21,12.5,0,0.2,4.0,,4.0,,7.7,0
10.42.0.211-23.15.4.11-42295-80-6,37.04382826,-76.43630823,01-10-21,15.71,0,0.9,4.0,,4.0,,10.0,0
183.79.249.252-10.42.0.211-80-35052-6,37.43831826,-77.46542954,02-10-21,10.54,0,1.2,4.0,,4.0,,10.0,0
10.42.0.211-23.43.56.81-55934-80-6,37.49223408,-77.60081327,03-10-21,14.21,0,2.0,4.0,,4.0,,9.0,0
10.42.0.211-40.84.51.249-35502-443-6,38.04574897,-78.46962397,04-10-21,14.25,0,1.5,4.0,,4.0,,2.5,0
10.42.0.211-10.42.0.1-32021-53-17,37.58374,-77.509491,05-10-21,9.04,0,2.4,4.0,,4.0,,4.5,1
180.149.138.210-10.42.0.211-80-36921-6,32.20398094,-110.90034250000001,06-10-21,8.71,0,5.1,4.0,,4.0,,-1.0,1
183.79.250.123-10.42.0.211-443-60668-6,33.63734952,-111.676414,07-10-21,11.17,0,0.0,4.0,,4.0,,8.5,0
10.42.0.151-63.250.200.101-43729-443-6,33.60968843,-112.2343898,08-10-21,14.33,0,0.4,4.0,,4.0,,11.6,0
172.217.6.206-10.42.0.151-443-47452-6,33.58299698,-111.93067830000001,09-10-21,15.25,0,0.0,4.0,,4.0,,-0.5,0
10.42.0.211-104.97.95.172-36337-80-6,33.3065619,-111.93775409999999,10-10-21,14.42,0,0.0,4.0,,4.0,,8.6,0
172.217.12.202-10.42.0.211-443-44143-6,33.26119258,-111.88420330000001,11-10-21,9.83,0,0.0,4.0,,4.0,,8.8,1
10.42.0.151-10.42.0.1-5351-45708-17,33.37882711,-111.9323425,12-10-21,9.42,0,0.3,4.0,,4.0,,-1.6,1
172.217.10.136-10.42.0.42-443-36826-6,32.28197505,-111.05231140000001,13-10-21,14.21,0,0.0,4.0,,4.0,,3.8,0
8.0.6.4-8.6.0.1-0-0-0,34.7987,-92.411591,14-10-21,3.83,0,4.3,4.0,,4.0,,-1.6,1
175.100.207.231-10.42.0.211-443-37833-6,34.67973464,-92.32954965,15-10-21,11.67,0,1.0,4.0,,4.0,,8.6,0
183.61.230.100-10.42.0.211-80-57259-6,35.27449505,-91.8640157,16-10-21,7.46,0,0.0,4.0,,4.0,,-0.5,1
10.42.0.211-10.42.0.1-30548-53-17,35.39385,-91.783731,17-10-21,10.37,0,0.0,4.0,,4.0,,6.7,0
10.42.0.151-10.42.0.1-37969-53-17,34.72852,-92.129541,18-10-21,12.96,0,0.0,4.0,,4.0,,4.3,0
10.42.0.42-104.192.110.245-35921-80-6,34.694379999999995,-92.325501,19-10-21,15.09,0,0.2,4.0,,4.0,,10.6,0
220.181.7.190-10.42.0.151-443-54479-6,36.03969,-94.183801,20-10-21,13.42,0,0.0,4.0,,4.0,,0.5,0
10.42.0.42-85.93.5.109-36268-80-6,34.76651,-92.306731,21-10-21,13.88,0,6.3,4.0,,4.0,,9.8,0
10.42.0.151-10.42.0.1-58283-53-17,34.27973862,-94.05305968,22-10-21,9.79,0,0.4,4.0,,4.0,,0.5,1
172.217.12.142-10.42.0.151-443-46705-17,34.09385849,-118.3377114,23-10-21,12.92,0,0.0,4.0,,4.0,,8.8,0
172.217.10.98-10.42.0.151-443-34574-6,33.98615717,-118.28327409999999,24-10-21,4.83,0,0.0,4.0,,4.0,,10.0,1
157.240.18.19-10.42.0.211-443-52383-6,33.97759261,-118.3093538,25-10-21,6.04,0,0.0,4.0,,4.0,,0.5,1
10.42.0.151-10.42.0.1-35393-53-17,34.0878684,-118.46355520000002,26-10-21,11.21,0,0.0,4.0,,4.0,,9.4,0
10.42.0.211-47.89.69.217-34190-80-6,34.12940313,-118.484369,27-10-21,15.37,0,0.1,4.0,,4.0,,8.7,0
172.217.7.227-10.42.0.211-80-36492-6,33.82841051,-118.37615359999998,28-10-21,12.04,0,5.4,4.0,,4.0,,11.0,0
10.42.0.211-31.13.80.8-40183-443-6,33.99282979,-118.4560001,29-10-21,8.21,0,3.0,4.0,,4.0,,8.0,1
10.42.0.151-10.42.0.1-45508-53-17,38.86410241,-77.82174309999999,30-10-21,15.92,0,9.6,4.0,,4.0,,10.5,0
151.101.1.140-10.42.0.211-80-40908-6,36.65315,-79.69519100000001,31-10-21,5.25,0,0.2,4.0,,4.0,,3.1,1
10.42.0.151-54.243.105.3-58666-443-6,38.67211395,-77.26281274,01-11-21,8.25,0,0.5,4.0,,4.0,,3.1,1
209.10.120.26-10.42.0.211-80-58479-6,39.022890000000004,-77.41139100000001,02-11-21,6.0,0,16.2,4.0,,4.0,,3.0,1
10.42.0.211-104.193.88.109-35014-80-6,37.26269,-80.001401,03-11-21,7.33,0,2.0,4.0,,4.0,,5.8,1
10.42.0.211-10.42.0.1-39732-53-17,36.74830982,-76.24376448,04-11-21,16.13,0,7.9,4.0,,4.0,,6.2,0
202.77.129.150-10.42.0.42-80-59085-6,37.08,-76.460441,05-11-21,11.12,0,9.8,4.0,,4.0,,8.5,0
162.208.22.39-10.42.0.211-443-51809-6,39.231190999999995,-77.553177,06-11-21,3.0,0,0.2,4.0,,4.0,,2.1,1
10.42.0.211-64.71.142.110-57929-443-6,38.68787585,-77.31498598,07-11-21,7.62,0,0.0,4.0,,4.0,,3.1,1
10.42.0.151-10.42.0.1-26584-53-17,38.59081404,-77.33586567,08-11-21,13.0,0,0.0,4.0,,4.0,,-2.7,0
10.42.0.211-10.42.0.1-40437-53-17,39.10623,-77.582241,09-11-21,6.58,0,11.2,4.0,,4.0,,-4.4,1
10.42.0.1-10.42.0.42-53-55821-17,37.69256,-77.606821,10-11-21,19.83,0,7.6,4.0,,4.0,,8.6,0
172.217.12.131-10.42.0.211-443-51781-6,36.978238,-82.34100699999999,11-11-21,18.29,0,0.3,4.0,,4.0,,9.4,0
10.42.0.211-10.42.0.1-34211-53-17,36.84191,-76.160511,12-11-21,25.92,0,0.0,4.0,,4.0,,6.6,0
172.217.11.14-10.42.0.151-443-38111-6,36.85685087,-76.29121428,13-11-21,14.42,0,1.7,4.0,,4.0,,-0.2,0
10.42.0.151-52.7.159.102-56217-443-6,38.952248,-77.338853,14-11-21,12.08,0,0.1,4.0,,4.0,,0.6,0
10.42.0.211-10.42.0.1-8054-53-17,33.9760768,-118.36017009999999,15-11-21,2.92,0,6.3,4.0,,4.0,,-5.5,1
10.42.0.211-72.21.207.148-42356-443-6,33.92346431,-118.03091450000001,16-11-21,6.29,0,0.0,4.0,,4.0,,-3.8,1
10.42.0.151-10.42.0.1-4564-53-17,33.7890359,-118.32422530000001,17-11-21,13.75,0,11.5,4.0,,4.0,,-3.3,0
172.217.3.106-10.42.0.211-443-54247-6,34.10871897,-118.1542575,18-11-21,22.5,0,0.9,4.0,,4.0,,6.1,0
172.217.6.234-10.42.0.151-443-52994-6,34.14093251,-118.1407136,19-11-21,10.08,0,2.2,4.0,,4.0,,6.1,0
10.42.0.211-103.235.46.211-40244-443-6,37.75496354,-122.496174,20-11-21,7.17,0,2.0,4.0,,4.0,,-2.7,1
172.217.10.67-10.42.0.42-443-45166-6,37.73589867,-122.47158119999999,21-11-21,24.71,0,7.0,4.0,,4.0,,-5.2,0
8.0.6.4-8.6.0.1-0-0-0,37.71829926,-122.4792305,22-11-21,10.21,0,0.0,4.0,,4.0,,2.5,0
203.130.53.126-10.42.0.211-80-53600-6,37.79702,-122.40418100000001,23-11-21,13.17,0,3.1,4.0,,4.0,,2.8,0
